author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/306155025/,Москва,sale,flat,35,40,3,100.0,94350000.0,Хорошевский,Ленинградский проспект,37/3,Аэропорт,Прайм Парк,,,,,,,,
TOUCH,developer,https://www.cian.ru/sale/flat/305603331/,Москва,sale,flat,4,27,2,65.91,44571000.0,Крылатское,Крылатская ,23,Молодёжная,Дом Горизонтов,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307756097/,Москва,sale,flat,30,37,5,216.4,130000000.0,Тропарево-Никулино,проспект Вернадского,94к1,Тропарёво,Миракс Парк,,,,,,,,
Пионер,developer,https://www.cian.ru/sale/flat/308640109/,Москва,sale,flat,3,11,3,85.9,77617693.0,Даниловский,,,Павелецкая,Опус ЖК,,,,,,,,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/297359672/,Москва,sale,flat,7,21,4,137.0,150000000.0,Пресненский,2-я Звенигородская ,12С19,Улица 1905 года,,,,,,,,,
Tekta Group,developer,https://www.cian.ru/sale/flat/303506224/,Москва,sale,flat,9,34,3,57.1,23599430.0,Нагорный,,2,Нагорная,Твелв ЖК,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/307313081/,Москва,sale,flat,3,14,3,166.3,290000000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,,,,,,,,
Донстрой,developer,https://www.cian.ru/sale/flat/307731917/,Москва,sale,flat,3,19,2,80.2,94315200.0,Замоскворечье,Большая Татарская ,35С7-9,Новокузнецкая,Татарская 35,,,,,,,,
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/308069817/,Москва,sale,flat,4,21,2,54.0,58000000.0,Пресненский,2-я Звенигородская ,14,Улица 1905 года,Lucky,,,,,,,,
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/305284493/,Москва,sale,flat,6,8,4,134.0,71700000.0,Тверской,Тверская ,27С2,Маяковская,,,,,,,,,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/303534103/,Москва,sale,flat,16,25,1,34.0,9700000.0,,,7,Ольховая,,,,,,,,,
Главстрой,developer,https://www.cian.ru/sale/flat/307941294/,Москва,sale,flat,4,20,3,103.7,40291971.0,Филевский парк,Береговой проезд,2,Фили,Береговой-2,,,,,,,,
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/301550653/,Москва,sale,flat,13,41,1,41.5,31000000.0,Хорошевский,Ленинградский проспект,37/6,Аэропорт,Прайм Парк,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/306547189/,Москва,sale,flat,2,19,3,99.0,53000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2зд2,Шелепиха,Сердце Столицы,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/308416300/,Москва,sale,flat,8,9,2,42.8,29005560.0,Марьина роща,,,Марьина Роща,Мод ЖК,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/308711129/,Москва,sale,flat,9,21,3,117.0,115000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,,,,,,,
FS PROPERTY,real_estate_agent,https://www.cian.ru/sale/flat/307252068/,Москва,sale,flat,6,16,3,158.0,205000000.0,Якиманка, Большая Якиманка,22К3,Полянка,Коперник,,,,,,,,
Донстрой,developer,https://www.cian.ru/sale/flat/308969450/,Москва,sale,flat,9,21,1,37.7,19905600.0,Лефортово,,,Площадь Ильича,Символ ЖК,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303016439/,Москва,sale,flat,4,5,3,150.8,195000000.0,Пресненский,Леонтьевский переулок,11,Тверская,Леонтьевский 11,,,,,,,,
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/307963741/,Москва,sale,flat,1,16,2,56.0,13750000.0,Очаково-Матвеевское,Матвеевская ,6,Матвеевская,,,,,,,,,
Пионер,developer,https://www.cian.ru/sale/flat/308640077/,Москва,sale,flat,3,11,1,55.8,52675646.0,Даниловский,,,Павелецкая,Опус ЖК,,,,,,,,
Времена года,real_estate_agent,https://www.cian.ru/sale/flat/308395572/,Москва,sale,flat,11,14,3,100.0,215000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,,,,,,,,
Центрис,real_estate_agent,https://www.cian.ru/sale/flat/308600747/,Москва,sale,flat,4,14,3,105.0,160000000.0,Хамовники, Усачева,11,Спортивная,Садовые кварталы,,,,,,,,
Tekta Group,developer,https://www.cian.ru/sale/flat/306869031/,Москва,sale,flat,16,34,1,31.2,15178800.0,Нагорный,,2,Нагорная,Твелв ЖК,,,,,,,,
Contact Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/303027445/,Москва,sale,flat,3,20,1,59.0,61800000.0,Пресненский, Костикова,4к6,Улица 1905 года,Lucky,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306226871/,Москва,sale,flat,3,14,2,106.9,160350000.0,Хамовники,переулок 1-й Тружеников,16,Киевская,Brodsky,,,,,,,,
Sminex,developer,https://www.cian.ru/sale/flat/308620473/,Москва,sale,flat,23,26,1,35.67,21910000.0,Марфино, Академика Королева,21,Бутырская,Дом Достижение,,,,,,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307432577/,Москва,sale,flat,11,16,3,100.0,215000000.0,Хамовники, Усачева,15А,Спортивная,Садовые кварталы,,,,,,,,
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308709742/,Москва,sale,flat,24,25,4,300.0,169990000.0,Очаково-Матвеевское,Нежинская ,5к2,Матвеевская,Городские резиденции SPIRES,,,,,,,,
MR Group,developer,https://www.cian.ru/sale/flat/306611541/,Москва,sale,flat,2,59,1,30.4,,Можайский,,,Давыдково,Веер ЖК,,,,,,,,
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/301161554/,Москва,sale,flat,3,8,5,222.0,257000000.0,Раменки,Мосфильмовская ,1А,Ломоносовский проспект,Вишневый сад,,,,,,,,
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/304787071/,Москва,sale,flat,5,7,4,136.9,220000000.0,Якиманка,2-й Спасоналивковский переулок,6,Октябрьская,Полянка/44,,,,,,,,
Трансстройинвест,developer,https://www.cian.ru/sale/flat/306658016/,Москва,sale,flat,11,23,2,44.1,21442875.0,Очаково-Матвеевское,Очаково мкр,,Озёрная,ОМ ЖК,,,,,,,,
SKYEST,real_estate_agent,https://www.cian.ru/sale/flat/307103864/,Москва,sale,flat,5,21,3,119.0,112000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,,,,,,,,
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/307960807/,Москва,sale,flat,6,33,3,97.7,36990000.0,Рязанский, Михайлова,30Ак4,Плющево,Михайловский парк,,,,,,,,
КРОСТ,developer,https://www.cian.ru/sale/flat/305474557/,Москва,sale,flat,22,28,2,47.9,22081900.0,Хорошево-Мневники, Генерала Глаголева,,Народное Ополчение,CRYSTAL Трилогия,,,,,,,,
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/303772779/,Москва,sale,flat,5,24,5,182.0,145000000.0,Раменки,Ломоносовский проспект,25к3,Университет,Dominion,,,,,,,,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308417951/,Московская область,sale,flat,5,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,5/7 этаж,,,1928,-1.0,-1,-1.0,-1,49 м²,7 м²,79645387315.0
RND,real_estate_agent,https://www.cian.ru/sale/flat/307753411/,Московская область,sale,flat,24,44,3,137.0,125000000.0,Раменки,Минская ,2,Минская,Долина Сетунь,2017,-1.0,-1,-1.0,-1,89 м²,10 м²,79670309706.0
Неометрия,developer,https://krasnodar.cian.ru/sale/flat/297951727/,Московская область,sale,flat,2,11,3,80.78,10194436.0,Прикубанский, Даниила Смоляна,65к1,,Южане,2021,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, предчистовая, черновая, чистовая","37,5 м²","18,6 м²",78612058357.0
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/302282746/,Московская область,sale,flat,7,21,4,160.6,168000000.0,Пресненский,2-я Звенигородская ,16,Улица 1905 года,Lucky,2023,-1.0,-1,-1.0,-1,109 м²,10 м²,79852167237.0
MHEstate - Элитная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301916112/,Московская область,sale,flat,4,5,3,115.0,98000000.0,Хамовники,Кропоткинский переулок,4С1,Парк Культуры,,-1,-1.0,-1,-1.0,-1,82 м²,15 м²,79104779022.0
PEOPLE,real_estate_agent,https://www.cian.ru/sale/flat/304424290/,Московская область,sale,flat,3,9,4,287.0,350000000.0,Хамовники,Саввинская набережная,13,Киевская,SAVVIN RIVER RESIDENCE,2021,-1.0,-1,-1.0,-1,-1,"16,2 м²",79645658096.0
Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/300978480/,Московская область,sale,flat,3,18,3,79.2,12299760.0,,,,,Эрмитаж,2027,-1.0,-1,-1.0,Предчистовая,"37,9 м²","21,3 м²",78612055835.0
Kalinka Group,real_estate_agent,https://odintsovo.cian.ru/sale/flat/291589677/,Московская область,sale,flat,3,6,2,236.0,130000000.0,,,,,Жуковка Шале,-1,-1.0,-1,-1.0,-1,-1,-1,79854018686.0
ID 118582271,homeowner,https://balashikha.cian.ru/sale/flat/308939146/,Московская область,sale,flat,10,17,2,52.2,9890000.0,, Свердлова,50.0,Щёлковская,,2006,-1.0,-1,-1.0,-1,"35,5 м²","9,6 м²",79169629574.0
Неометрия,developer,https://sochi.cian.ru/sale/flat/308286114/,Московская область,sale,flat,11,17,1,21.0,9905700.0,Адлерский,,,,Лестория,2026,-1.0,-1,-1.0,Без отделки,9 м²,"4,4 м²",78612059303.0
Недвижимость у моря,real_estate_agent,https://sochi.cian.ru/sale/flat/308179200/,Московская область,sale,flat,3,6,1,47.3,18120000.0,Адлерский,Веселая ,82/1Б,,Green Sail Park,2020,-1.0,-1,-1.0,-1,15 м²,30 м²,79676510575.0
BrokerStreet,representative_developer,https://kaliningrad.cian.ru/sale/flat/308459701/,Московская область,sale,flat,3,4,2,62.58,6758640.0,,,,,О2 (Кислород),2024,-1.0,-1,-1.0,Неизвестно,-1,-1,74012658337.0
Недвижимость у моря,real_estate_agent,https://sochi.cian.ru/sale/flat/308930725/,Московская область,sale,flat,7,9,2,78.0,19800000.0,Адлерский, Интернациональная,3/1,,,-1,-1.0,-1,-1.0,-1,-1,20 м²,79189427457.0
Ак Барс Дом,developer,https://kazan.cian.ru/sale/flat/304842102/,Московская область,sale,flat,4,5,1,40.17,14461200.0,Вахитовский,,,Кремлёвская,Дом на Исхаки ЖК,2026,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"13,4 м²","11,6 м²",78432024245.0
Недвижимость у моря,real_estate_agent,https://sochi.cian.ru/sale/flat/308179099/,Московская область,sale,flat,15,21,2,76.0,20000000.0,Хостинский, Яна Фабрициуса,2/4б,,,2008,-1.0,-1,-1.0,-1,-1,10 м²,79189427457.0
НОВОСТРОЙ-ЮГ,developer,https://rostov.cian.ru/sale/flat/296504787/,Московская область,sale,flat,2,8,1,42.78,4962480.0,Аксай, Луначарского,52,,Простор,2025,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"11,7 м²",20 м²,78633034126.0
Недвижимость у моря,real_estate_agent,https://sochi.cian.ru/sale/flat/308159418/,Московская область,sale,flat,3,6,1,52.0,20360000.0,Адлерский,Веселая ,82/1Б,,Green Sail Park,2021,-1.0,-1,-1.0,-1,15 м²,35 м²,79676510575.0
BrokerStreet,representative_developer,https://kaliningrad.cian.ru/sale/flat/308136561/,Московская область,sale,flat,2,4,1,29.45,10560000.0,Светлогорск, Нахимова,,,Палатиум,2026,-1.0,-1,-1.0,Предчистовая,-1,-1,74012658161.0
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/293704749/,Московская область,sale,flat,4,38,2,65.0,23000000.0,Ростокино,проспект Мира,188Бк4,Ростокино,Триколор,2015,-1.0,-1,-1.0,-1,40 м²,15 м²,79104969019.0
Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/308999643/,Московская область,sale,flat,2,4,2,51.11,11755300.0,,,,,Усадьба Гостагаевская,2026,-1.0,-1,-1.0,Предчистовая,-1,-1,78612056478.0
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/303071841/,Московская область,sale,flat,19,32,1,32.2,25000000.0,Пресненский,Шмитовский проезд,39к2,Шелепиха,Headliner,2019,-1.0,-1,-1.0,-1,-1,7 м²,79645660140.0
СМУ-88,developer,https://kazan.cian.ru/sale/flat/308963648/,Московская область,sale,flat,2,8,1,37.77,11535739.0,Вахитовский,,,Площадь Тукая,Яналиф ЖК,2027,-1.0,Монолитно-кирпичный,-1.0,"Без отделки, черновая","17,3 м²",-1,78432023600.0
HOUSE MALL - Городская недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/281250233/,Московская область,sale,flat,7,21,2,62.0,30000000.0,Свиблово,Сельскохозяйственная ,38к1,Ботанический сад,LIFE-Ботанический сад,2020,-1.0,-1,-1.0,-1,39 м²,11 м²,79854216588.0
ЮГ,representative_developer,https://anapa.cian.ru/sale/flat/297912959/,Московская область,sale,flat,6,7,2,68.92,24345919.0,Анапа,шоссе Симферопольское,58,,Европа,2023,-1.0,Монолитный,-1.0,"Чистовая, чистовая с мебелью","35,4 м²",-1,78612690109.0
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/307680453/,Московская область,sale,flat,7,36,2,84.3,57000000.0,Хорошево-Мневники,Шелепихинская набережная,34к3зд6,Шелепиха,Сердце Столицы,-1,-1.0,-1,-1.0,-1,30 м²,40 м²,79166022473.0
Магазин новостроек,representative_developer,https://sochi.cian.ru/sale/flat/303245849/,Московская область,sale,flat,2,12,2,52.76,19257400.0,Центральный,Пластунская ,104Б,,Южный Парк,2023,-1.0,Кирпичный,-1.0,Без отделки,-1,5 м²,78612055825.0
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/306837240/,Московская область,sale,flat,5,6,2,94.0,99000000.0,Замоскворечье,Садовническая набережная,7,Новокузнецкая,BALCHUG VIEWPOINT,2017,-1.0,-1,-1.0,-1,-1,-1,79660612110.0
ФСК,developer,https://kazan.cian.ru/sale/flat/307402296/,Московская область,sale,flat,3,20,2,60.5,15605975.0,Приволжский,,,Аметьево,Фриссон ЖК,2027,-1.0,-1,-1.0,Предчистовая,-1,-1,78432024253.0
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/302534155/,Московская область,sale,flat,2,8,2,77.2,110000000.0,Якиманка,Софийская набережная,34,Новокузнецкая,Софийский,2019,-1.0,-1,-1.0,-1,-1,-1,79855438756.0
Садовое кольцо,developer,https://ufa.cian.ru/sale/flat/302975403/,Московская область,sale,flat,3,30,1,40.27,7438594.0,Октябрьский,,,,Урман Сити ЖК,2026,-1.0,Монолитно-кирпичный,-1.0,Без отделки,"23,9 м²","6,5 м²",73472117646.0
ID 94542124,homeowner,https://www.cian.ru/sale/flat/308767223/,Московская область,sale,flat,5,18,2,39.9,22500000.0,Левобережный,Фестивальная ,15К4,Речной вокзал,Фестиваль парк-2,2023,-1.0,-1,-1.0,-1,8 м²,20 м²,79645651052.0
MR Group,developer,https://www.cian.ru/sale/flat/306610643/,Московская область,sale,flat,2,59,2,31.1,,Можайский,,,Давыдково,Веер ЖК,2028,-1.0,Монолитно-кирпичный,-1.0,Предчистовая,"15,7 м²",-1,74951370518.0
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/308805101/,Московская область,sale,flat,4,6,1,35.1,23000000.0,Басманный, Покровка,38С1,Курская,,1902,-1.0,-1,-1.0,-1,-1,-1,79623676737.0
Магазин новостроек,representative_developer,https://krasnodar.cian.ru/sale/flat/292674481/,Московская область,sale,flat,14,24,1,36.98,9096000.0,,,,,Гарантия на Обрывной,2023,-1.0,Монолитно-кирпичный,-1.0,Без отделки,"15,3 м²","12,4 м²",78612057539.0
Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/304963966/,Московская область,sale,flat,3,12,2,65.6,82000000.0,Раменки,Мосфильмовская ,1к5,Ломоносовский проспект,Вишневый сад,2020,-1.0,-1,-1.0,-1,-1,30 м²,79639769503.0
AVA,developer,https://krasnodar.cian.ru/sale/flat/308799248/,Московская область,sale,flat,19,23,1,35.55,6445215.0,мкр. КСК,Уральская ,87/7,,URAL,2024,-1.0,Монолитный,-1.0,"Без отделки, предчистовая, черновая, чистовая","10,1 м²","16,2 м²",78612058457.0
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Московская область,sale,flat,11,12,1,33.5,8000000.0,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,,1972,-1.0,-1,-1.0,-1,17 м²,7 м²,79163568699.0
DOGMA,developer,https://novorossiysk.cian.ru/sale/flat/307281902/,Московская область,sale,flat,4,18,2,48.4,7211600.0,,,,,Порто-Ново,2026,-1.0,-1,-1.0,Чистовая,"23,2 м²","11,3 м²",78612055795.0
Дмитрий Кустов,realtor,https://mytishchi.cian.ru/sale/flat/308704402/,Московская область,sale,flat,13,25,1,42.3,9500000.0,, Рождественская,11,Медведково,Ньютон,2014,-1.0,-1,-1.0,-1,-1,10 м²,79858420423.0
ID 94421948,homeowner,https://spb.cian.ru/sale/flat/308327149/,Московская область,sale,flat,6,9,2,47.0,13300000.0,Василеостровский, Кораблестроителей,19К1,Приморская,,1974,-1.0,-1,-1.0,-1,-1,8 м²,79811892386.0
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/308112517/,Московская область,sale,flat,10,17,1,41.0,9700000.0,,,20,Бачуринская,,2011,-1.0,-1,-1.0,-1,16 м²,10 м²,79660515232.0
AVA,developer,https://krasnodar.cian.ru/sale/flat/307879803/,Московская область,sale,flat,9,21,2,60.35,7543750.0,мкр. ХБК,Уральская ,100/8,,Режиссёр,2025,-1.0,-1,-1.0,Без отделки,"32,4 м²",15 м²,78612059144.0
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/308239254/,Московская область,sale,flat,12,19,2,84.0,59000000.0,Хорошево-Мневники,Шелепихинская набережная,34к2,Шелепиха,Сердце Столицы,-1,-1.0,-1,-1.0,-1,63 м²,16 м²,79161938368.0
МетрУМ,real_estate_agent,https://spb.cian.ru/sale/flat/297228540/,Московская область,sale,flat,3,5,2,71.3,39950000.0,Курортный, Максима Горького,2Ас3,,Russian seasons,2020,-1.0,-1,-1.0,-1,"28,4 м²","26,4 м²",79675373285.0
Магазин новостроек,representative_developer,https://novorossiysk.cian.ru/sale/flat/304442367/,Московская область,sale,flat,21,22,2,41.71,5901000.0,мкр. Приморский, Рассветная,,,Малина,2022,-1.0,Монолитный,-1.0,"Без отделки, предчистовая, черновая, чистовая",-1,20 м²,78612055842.0
ID 94421948,homeowner,https://spb.cian.ru/sale/flat/308327149/,Московская область,sale,flat,6,9,2,47.0,13300000.0,Василеостровский, Кораблестроителей,19К1,Приморская,,1974,-1.0,-1,-1.0,-1,-1,8 м²,79811892386.0
Villagio Realty,real_estate_agent,https://www.cian.ru/sale/flat/307959580/,Московская область,sale,flat,5,28,-1,31.0,16200000.0,Филевский парк, Василисы Кожиной,13,Парк Победы,Квартал апартаментов Match Point,-1,-1.0,-1,-1.0,-1,17 м²,8 м²,79153383587.0
Жилищный эксперт,real_estate_agent,https://zvenigorod.cian.ru/sale/flat/308997792/,Московская область,sale,flat,3,15,1,40.7,5700000.0,,,,,Супонево,2013,-1.0,-1,-1.0,-1,18 м²,12 м²,79853180357.0
Винсент Недвижимость. комплексное сопровождение сделки.,real_estate_agent,https://sochi.cian.ru/sale/flat/300473065/,Московская область,sale,flat,12,14,1,31.0,10900000.0,Дагомыс пгт, Старошоссейная,5к2,,Каравелла Португалии,2020,-1.0,-1,-1.0,-1,-1,-1,79181506957.0
Винсент Недвижимость Центральный Офис номер 1,real_estate_agent,https://sochi.cian.ru/sale/flat/255382247/,Московская область,sale,flat,7,17,3,70.0,27500000.0,Центральный, Чайковского,2Б,,,2011,-1.0,-1,-1.0,-1,42 м²,25 м²,79186363440.0
Юлия Мамаева,realtor,https://www.cian.ru/sale/flat/305391005/,Московская область,sale,flat,4,9,3,70.0,32000000.0,Ломоносовский,Ленинский проспект,89/2,Новаторская,,1960,-1.0,-1,-1.0,-1,-1,10 м²,79660631563.0
MR Group,developer,https://www.cian.ru/sale/flat/308088531/,Московская область,sale,flat,2,7,2,134.71,323304000.0,Арбат,Крестовоздвиженский переулок,4,Арбатская,Luce - фамильный дом,2026,-1.0,Монолитно-кирпичный,-1.0,"Предчистовая, чистовая","28,9 м²","25,2 м²",74951389336.0
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/308417951/,Московская область,sale,flat,5,7,3,74.0,41500000.0,"Кв-ра ""под ключ"" в Басманном е3-комн. квартира",74 м²,5/7 этаж,,,1928,-1.0,-1,-1.0,-1,49 м²,7 м²,79645387315.0
NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/291636518/,Московская область,sale,flat,5,7,3,172.26,452748561.0,Хамовники, Ефремова,19к4,Спортивная,Knightsbridge Private Park,2015,-1.0,-1,-1.0,-1,-1,15 м²,79152336978.0
NIKA ESTATE,real_estate_agent,https://www.cian.ru/sale/flat/306945307/,Московская область,sale,flat,21,24,1,40.8,30000000.0,Хорошевский,Хорошевское шоссе,25Ак3,Полежаевская,Династия,2022,-1.0,-1,-1.0,-1,"25,8 м²",10 м²,79166583869.0
MERSI,real_estate_agent,https://lyubertsy.cian.ru/sale/flat/307742078/,Московская область,sale,flat,3,26,1,25.7,5100000.0,, Солнечная,2,Люберцы,Облака 2.0,2023,-1.0,-1,-1.0,-1,"12,9 м²","3,6 м²",79660621004.0
LEGENDA Development,developer,https://spb.cian.ru/sale/flat/307879980/,Московская область,sale,flat,8,9,1,40.4,17652698.0,Красногвардейский, Стахановцев,1,Новочеркасская,"Малоохтинский, 68",2024,-1.0,"Монолитно-кирпичный, монолитный",-1.0,Предчистовая,"11,8 м²","15,7 м²",78122134207.0
Этажи Москва,real_estate_agent,https://kotelniki.cian.ru/sale/flat/306570763/,Московская область,sale,flat,17,33,1,23.4,7600000.0,, Сосновая,5к1,Котельники,,2022,-1.0,-1,-1.0,-1,-1,4 м²,79057132813.0
МИЭЛЬ Офис Пречистенка,real_estate_agent,https://www.cian.ru/sale/flat/308117485/,Московская область,sale,flat,2,16,1,22.64,6350000.0,Молжаниновский,Ленинградское шоссе,229Ак2,Новоподрезково,Молжаниново,2024,-1.0,-1,-1.0,-1,"11,1 м²","3,6 м²",79852069754.0
Многофункциональный Центр Недвижимости,real_estate_agent,https://tver.cian.ru/sale/flat/307952490/,Московская область,sale,flat,1,5,1,35.3,2950000.0,Конаково, Гагарина,12,,,-1,-1.0,-1,-1.0,-1,"20,5 м²",7 м²,79157101872.0
Интергрупп,developer,https://spb.cian.ru/sale/flat/300486271/,Московская область,sale,flat,7,9,1,32.44,5155040.0,Колпинский,Заречье тер.,,Рыбацкое,Квартал Заречье,2026,-1.0,Монолитный,-1.0,Чистовая,"12,3 м²",11 м²,78122133702.0
